,KuLGaP,mRECIST-Novartis,Angle,AUC,TGI
P34*C1,1,1,1,1,-1
P34*C2,1,1,1,1,-1
P34*C3,1,1,1,1,-1
P35*C1,1,1,1,1,1
P35*C2,1,1,1,1,1
P36*C1,-1,1,-1,-1,-1
P36*C2,-1,-1,-1,-1,-1
P37*C1,1,1,1,1,1
P37*C2,1,1,1,1,1
P38*C1,-1,1,1,-1,1
P39*C1,-1,1,-1,-1,-1
P39*C2,1,1,-1,-1,-1
P40*C1,-1,1,-1,-1,-1
P40*C2,-1,1,-1,-1,-1
P41*C1,-1,1,1,-1,-1
P41*C2,1,1,1,1,1
P41*C3,1,1,1,1,1
P42*C1,-1,1,1,0,-1
P42*C2,-1,1,1,0,1
P42*C3,-1,1,1,0,-1
P42*C4,-1,1,1,0,1
P42*C5,-1,1,1,0,-1
P42*C6,-1,1,1,0,1
P42*C7,-1,1,1,0,1
P43*C1,1,1,1,1,1
P44*C1,-1,1,-1,1,1
P45*C1,-1,-1,-1,-1,-1
P45*C2,-1,1,1,-1,-1
P45*C3,-1,1,1,0,-1
P46*C0,-1,1,1,1,-1
P46*C1,-1,-1,1,-1,-1
P46*C3,-1,1,1,-1,-1
P46*C4,-1,1,1,-1,-1
P46*C5,-1,1,1,-1,-1
P47*C1,-1,-1,1,0,-1
P47*C2,1,1,1,0,-1
P48*C1,-1,1,1,1,-1
P49*C1,-1,1,-1,-1,-1
P50*C1,1,1,1,1,1
P51*C1,-1,1,1,1,-1
P52*C1,-1,1,1,1,-1
P53*C1,-1,-1,1,1,-1
P54*C1,-1,1,-1,1,1
P55*C1,1,-1,1,1,1
P56*C1,-1,-1,-1,1,-1
P57*C1,-1,-1,1,-1,-1
P57*C2,-1,1,-1,1,-1
P57*C3,-1,-1,-1,-1,-1
P57*C4,-1,1,-1,-1,-1
P58*C1,-1,-1,-1,1,-1
P59*C0,1,1,1,1,1
P59*C1,1,1,1,1,1
P59*C2,1,1,1,1,1
P59*C3,1,1,1,1,1
P60*C1,-1,1,1,1,-1
P60*C2,-1,1,-1,-1,-1
P60*C3,-1,1,1,1,1
P61*C1,-1,1,1,1,-1
P61*C2,-1,1,1,1,-1
P61*C3,-1,1,1,1,-1
P62*C1,-1,-1,1,-1,-1
P62*C2,-1,-1,1,1,-1
P62*C3,-1,1,-1,1,-1
P62*C4,-1,1,1,1,-1
P62*C5,-1,1,1,1,1
P62*C6,-1,-1,1,1,-1
P62*C7,-1,1,1,1,1
176,-1,1,1,1,1
117,-1,1,1,1,1
92,-1,1,1,1,1
188,1,1,1,1,1
182,1,1,1,1,1
199,1,1,1,1,1
193,1,1,1,1,1
137,-1,1,1,1,1
192,1,1,1,1,1
119,-1,1,1,1,1
96,-1,1,1,-1,1
127,-1,1,1,1,1
166,-1,1,1,1,1
115,-1,1,1,1,1
164,-1,1,1,1,1
103,-1,1,1,1,1
189,1,1,1,1,1
185,1,1,1,1,1
122,-1,1,1,1,1
132,-1,1,1,1,1
72,-1,1,1,-1,1
197,1,1,1,1,1
123,-1,1,1,1,1
198,1,1,1,1,1
179,1,1,1,1,1
162,-1,1,1,1,1
200,1,1,1,1,1
140,-1,1,1,1,1
191,1,1,1,1,1
195,1,1,1,1,1
149,-1,1,1,1,1
136,-1,-1,1,1,1
154,-1,-1,1,1,1
184,1,-1,1,1,1
120,-1,1,1,1,1
175,-1,-1,1,1,1
177,1,-1,1,1,1
167,-1,-1,1,1,1
161,-1,1,1,1,1
174,-1,1,1,1,1
180,1,1,1,1,1
168,-1,-1,1,1,1
139,-1,-1,1,1,1
187,1,1,1,1,1
152,-1,-1,1,1,1
113,-1,1,1,-1,1
190,1,1,1,1,1
141,-1,1,1,1,1
173,-1,1,1,1,1
170,-1,1,1,1,1
183,1,1,-1,-1,1
118,-1,1,-1,-1,1
196,1,1,1,1,1
94,-1,-1,-1,-1,1
102,-1,1,-1,-1,1
157,-1,1,1,1,1
151,-1,-1,1,1,1
83,-1,-1,1,1,1
134,-1,1,1,1,1
178,1,1,1,1,1
16,-1,1,-1,-1,1
156,-1,-1,1,1,1
121,-1,-1,1,1,1
124,-1,1,1,1,1
171,-1,-1,1,1,1
108,-1,1,1,-1,1
142,-1,1,1,1,1
68,-1,-1,-1,-1,1
169,-1,1,1,1,1
147,-1,-1,1,1,1
125,-1,-1,1,1,1
146,-1,1,1,1,1
143,-1,1,1,1,1
165,-1,-1,1,1,1
163,-1,1,1,1,1
114,-1,1,1,1,1
95,-1,1,1,1,1
194,1,1,1,1,1
159,-1,-1,1,1,1
144,-1,1,1,1,1
186,1,-1,1,1,1
150,-1,-1,1,1,1
85,-1,1,1,1,1
181,1,1,1,1,1
145,-1,-1,1,1,1
126,-1,1,-1,1,1
155,-1,-1,1,-1,1
69,-1,-1,1,1,1
111,-1,1,1,1,1
138,-1,1,1,1,1
93,-1,1,1,1,1
133,-1,1,1,-1,1
79,-1,-1,1,1,1
107,-1,1,-1,-1,1
89,-1,-1,1,1,-1
110,-1,1,1,1,-1
135,-1,1,1,1,-1
41,-1,1,-1,-1,-1
116,-1,-1,1,1,-1
49,-1,1,1,-1,-1
55,-1,-1,1,-1,-1
66,-1,-1,-1,1,-1
101,-1,1,1,1,-1
43,-1,-1,1,1,-1
78,-1,1,1,1,-1
27,-1,-1,-1,-1,-1
