,KuLGaP,mRECIST,Angle,AUC,TGI
KuLGaP,1.0,0.547112462006079,0.49240121580547114,0.5349544072948328,0.6990881458966566
mRECIST,0.547112462006079,1.0,0.6838905775075987,0.6109422492401215,0.6474164133738601
Angle,0.49240121580547114,0.6838905775075987,1.0,0.8085106382978723,0.7021276595744681
AUC,0.5349544072948328,0.6109422492401215,0.8085106382978723,1.0,0.7051671732522796
TGI,0.6990881458966566,0.6474164133738601,0.7021276595744681,0.7051671732522796,1.0
