,KuLGaP,mRECIST,Angle,AUC,TGI
KuLGaP,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.125
mRECIST,0.7647058823529411,0.0,0.21390374331550802,0.29411764705882354,0.45454545454545453
Angle,0.7819905213270142,0.2938388625592417,0.0,0.16113744075829384,0.4075829383886256
AUC,0.7580645161290323,0.3279569892473118,0.10215053763440861,0.0,0.3763440860215054
TGI,0.6842105263157895,0.23308270676691728,0.07518796992481203,0.11278195488721804,0.0
