,KuLGaP,mRECIST,Angle,AUC,TGI
KuLGaP,1.0,0.28867823558454264,0.2731711527465903,0.30862643755175817,0.3929027607555875
mRECIST,0.28867823558454264,0.9999999999999998,0.350589672589617,0.2370729867540964,0.3255101593754803
Angle,0.2731711527465903,0.35058967258961704,1.0,0.6328140554745144,0.4917167841501707
AUC,0.30862643755175817,0.2370729867540964,0.6328140554745144,1.0,0.4928990312630638
TGI,0.3929027607555875,0.3255101593754803,0.4917167841501707,0.4928990312630637,0.9999999999999998
