Seq.,PDX,TGI,log(kl),KI-histogram,auc,auc_control,auc_control_norm,auc_gp,auc_gp_control,auc_norm,average_angle,average_angle_control,average_angle_rel,average_angle_rel_control,delta_log_likelihood,direction,drug,gp_deriv,gp_deriv_control,kl,kl_p_cvsc,kl_p_value,mRECIST,num_mCR,num_mPD,num_mPR,num_mSD,number_replicates,number_replicates_control,perc_mCR,perc_mPD,perc_mPR,perc_mSD,perc_true_credible_intervals,response_angle,response_angle_control,response_angle_rel,response_angle_rel_control,tumour_type
96,NA,1.17333091,0.144987392,28.49254003,1:0.8925_2:10.055_3:10.595,1:[ 12.0275]_2:[ 8.5125]_3:[ 6.6125],1:[ 0.06341305]_2:[ 0.04008897]_3:[ 0.04618376],-0.086088,0.088506369,1:0.00568658839183_2:0.0486599651468_3:0.0623676026939,-0.962202311,1.266668064,-0.008752185,0.0193961,0.244084333,0.021982109,NA,-0.014242207,0.018518845,1.396327823,1,1,1:mPR_2:mSD_3:mSD,0,0,1,2,3,3,0,0,0.333333333,0.666666667,16.66666667,1:-1.35050695395_2:-0.131023599424_3:0.284443471721,1:1.47201987074_2:1.43665398718_3:1.43585401206,1:-0.0287740565666_2:-0.000704057973886_3:0.00195487450673,1:0.0604886144538_2:0.0378344094783_3:0.0564458325547,
127,NA,1.145519292,0.421279764,6.05683395,1:-9.13916666667_2:6.18083333333_3:22.3358333333,1:[ 53.01416667]_2:[ 102.83416667]_3:[ 42.78583333],1:[ 0.23018912]_2:[ 0.30592509]_3:[ 0.16238716],-0.048959385,0.237145316,1:-0.0650262871212_2:0.0358492077927_3:0.0854690121492,1.194441188,1.50395309,0.014939033,0.083756882,20.27784179,0.255578265,NA,-0.006722298,0.03863807,2.638030204,1,1,1:mSD_2:mSD_3:mSD,0,0,0,3,3,3,0,0,0,1,50,1:0.0602816210309_2:0.839767345216_3:1.41617456012,1:1.48951933356_2:1.52655757084_3:1.47060916092,1:0.00051545597899_2:0.007114728791_3:0.0273770491796,1:0.0843829985073_2:0.114748115964_3:0.051588672464,
166,NA,1.127812683,0.756366216,8.599308602,1:-13.3241666667_2:-9.3425_3:-0.414166666667,1:[ 64.50166667]_2:[ 93.725]_3:[ 199.82083333],1:[ 0.21211615]_2:[ 0.34590951]_3:[ 0.40314342],-3.81E-07,0.312126173,1:-0.0677879968682_2:-0.0473893485201_3:-0.0162352262202,-1.149318376,1.535653383,-0.011131964,0.145512201,21.48704642,0.555969799,NA,-6.35E-08,0.051280886,5.706452621,1,1,1:mSD_2:mSD_3:mSD,0,0,0,3,3,3,0,0,0,1,50,1:-0.793913383216_2:-1.32628077204_3:-1.03025063329,1:1.48940396338_2:1.50170339129_3:1.55373932206,1:-0.00504297718858_2:-0.0185838715214_3:-0.00906893292917,1:0.0569358964152_2:0.097165043424_3:0.261613826161,
115,NA,1.119879544,0.287277969,4.037273305,1:-18.6758333333_2:16.8833333333_3:-7.04166666667,1:[ 240.99416667]_2:[ 105.68083333]_3:[ 23.885],1:[ 0.45502317]_2:[ 0.33309366]_3:[ 0.11945621],-0.126812143,0.320797394,1:-0.1306728504_2:0.0829337812858_3:-0.0513756690743,0.110616534,1.536214739,0.000645118,0.156223066,17.07467273,0.3874867,NA,-0.018392501,0.052565382,1.937661762,1,1,1:mPR_2:mPD_3:mSD,0,1,1,1,3,3,0,0.333333333,0.333333333,0.333333333,66.66666667,1:-1.32943747862_2:1.32013176529_3:0.455746883094,1:1.5523972413_2:1.52894642565_3:1.45357032595,1:-0.0226546166252_2:0.0231875788259_3:0.00290345558155,1:0.243224096432_2:0.136093516839_3:0.0539779270415,
164,NA,1.10417556,0.725566078,15.30466783,1:-27.7758333333_2:-25.1041666667_3:-11.6766666667,1:[ 155.20333333]_2:[ 147.83]_3:[ 129.39],1:[ 0.53954227]_2:[ 0.50812783]_3:[ 0.31661635],-0.27933105,0.451343467,1:-0.226629976048_2:-0.508219528861_3:-0.143328255018,-1.256679541,1.535734638,-0.02558719,0.211325906,25.17442671,1.264267269,NA,-0.042628513,0.074047078,5.315768726,1,1,1:mSD_2:mPR_3:mSD,0,0,1,2,3,3,0,0,0.333333333,0.666666667,50,1:-1.24083093002_2:-1.38166207683_3:-0.828664816869,1:1.53296403583_2:1.54015310226_3:1.53305724992,1:-0.0180841633311_2:-0.0491233889532_3:-0.011710221432,1:0.276002751302_2:0.333689146016_3:0.124699367087,
103,NA,1.103024595,0.174655088,3.520121755,1:13.3733333333_2:7.29833333333_3:-40.9191666667,1:[ 184.31416667]_2:[ 67.4275]_3:[ 66.08],1:[ 0.5082509]_2:[ 0.23837447]_3:[ 0.23641508],-3.91E-06,0.335673505,1:0.0960885108708_2:0.0460111496249_3:-0.285213132349,-0.85731322,1.522957296,-0.007140098,0.123676079,11.28052975,0.540505287,NA,-6.52E-07,0.05506985,1.495047832,1,1,1:mPD_2:mSD_3:mPR,0,1,1,1,3,3,0,0.333333333,0.333333333,0.333333333,100,1:1.2859907222_2:0.862071233282_3:-1.4471745237,1:1.54357227112_2:1.49089738419_3:1.4965842197,1:0.0289117137871_2:0.00820893211717_3:-0.0357232332249,1:0.25558564199_2:0.0690933980155_3:0.0733381840126,
189,NA,1.098613957,1.076841801,30.60058359,1:-8.81666666667_2:-6.305_3:-27.8825,1:[ 237.79916667]_2:[ 183.5325]_3:[ 193.7825],1:[ 0.61339571]_2:[ 0.44504872]_3:[ 0.50366484],-0.233429639,0.537371489,1:-0.08789815461_2:-0.0476360604343_3:-0.294880315372,-0.952465022,1.544908173,-0.010996139,0.28530058,41.39279658,1.040554291,NA,-0.031098733,0.087621009,11.93553254,1,1,1:mSD_2:mSD_3:mSD,0,0,0,3,3,3,0,0,0,1,16.66666667,1:-0.762017134186_2:0.504528429583_3:-1.3144391395,1:1.54808485582_2:1.54452416865_3:1.54120150932,1:-0.00787033785793_2:0.00451138308439_3:-0.0272742576414,1:0.387674555503_2:0.244527188643_3:0.245728545136,
185,NA,1.080869846,1.034789272,23.38001773,1:-20.6541666667_2:-5.85916666667_3:-13.5183333333,1:[ 181.33083333]_2:[ 487.77]_3:[ 354.49333333],1:[ 0.43083085]_2:[ 0.70841222]_3:[ 0.67332485],-0.329568691,0.719552179,1:-0.260357796491_2:-0.0860959898639_3:-0.172665525722,-1.07753724,1.554774986,-0.010991809,0.356052126,37.8195924,0.890200541,NA,-0.049310287,0.115436155,10.83401101,1,1,1:mPR_2:mSD_3:mSD,0,0,1,2,3,3,0,0,0.333333333,0.666666667,33.33333333,1:-1.31682903011_2:0.444617184013_3:-1.14493586858,1:1.54193906331_2:1.55931684516_3:1.55552623406,1:-0.0274990837907_2:0.00232066492945_3:-0.0135802829887,1:0.18237298091_2:0.471948091077_3:0.424341232398,
122,NA,1.071990035,0.383410482,92.38436976,1:-44.9608333333_2:24.4625_3:-20.1533333333,1:[ 63.7075]_2:[ 50.72166667]_3:[ 259.61583333],1:[ 0.31371638]_2:[ 0.40230114]_3:[ 0.43429878],-0.144622063,0.468064908,1:-0.713844032339_2:0.154712918508_3:-0.203742747458,-1.146086437,1.528796323,-0.015807226,0.158951623,5.257616662,0.989852614,NA,-0.022957521,0.077271441,2.417744936,1,1,1:mCR_2:mSD_3:mPR,1,0,1,1,3,3,0.333333333,0,0.333333333,0.333333333,100,1:-1.46489012344_2:1.41243716079_3:-1.2916362809,1:1.49163486921_2:1.47195878853_3:1.55026360396,1:-0.0601283091062_2:0.05068061693_3:-0.0249278977649,1:0.110122038345_2:0.169009189207_3:0.177018474992,
132,NA,1.067332146,0.435553772,13.50500938,1:-35.3033333333_2:-20.145_3:-11.6908333333,1:[ 16.29666667]_2:[ 26.0825]_3:[ 127.84333333],1:[ 0.11462955]_2:[ 0.18851103]_3:[ 0.36942432],-0.434033522,0.311190235,1:-0.621122428164_2:-0.572379702338_3:-0.0894767930259,-1.375102005,1.515335792,-0.039779748,0.137519779,10.7647379,0.839857564,NA,-0.054848064,0.051279603,2.726175255,1,1,1:mCR_2:mCR_3:mSD,2,0,0,1,3,3,0.666666667,0,0,0.333333333,50,1:-1.43437031711_2:-1.37653794465_3:-1.22394444156,1:1.45964254378_2:1.46346479365_3:1.54286786886,1:-0.0528515970457_2:-0.0573834363852_3:-0.0179554870846,1:0.0821626207427_2:0.0908300717844_3:0.196563447586,
72,NA,1.061046625,-0.120059961,2.788358591,1:106.331666667_2:50.485_3:15.7541666667,1:[ 63.66916667]_2:[ 84.08083333]_3:[ 17.56083333]_4:[ 80.50666667]_5:[ 58.86416667]_6:[ 106.84083333]_7:[ 102.65833333]_8:[ 123.66833333]_9:[ 58.14333333]_10:[ 35.20416667],1:[ 0.27003862]_2:[ 0.26445168]_3:[ 0.12584282]_4:[ 0.27728781]_5:[ 0.21707987]_6:[ 0.30191865]_7:[ 0.31951764]_8:[ 0.37832682]_9:[ 0.24039313]_10:[ 0.18101022],-0.363669953,0.338120731,1:0.270151847269_2:0.163620979509_3:0.128732566856,-1.153842022,1.549252902,-0.012573438,0.287029704,0.328562636,0.083371465,NA,-0.045009406,0.053810578,0.758472849,1,1,1:mPD_2:mSD_3:mSD,0,1,0,2,3,10,0,0.333333333,0,0.666666667,50,1:0.330385395869_2:-1.35675531292_3:-1.19244167363,1:1.54171552912_2:1.55232926193_3:1.51211734092_4:1.55457983551_5:1.52589389173_6:1.55585628731_7:1.55113492372_8:1.55718745404_9:1.54273792186_10:1.53770007718,1:0.00154966003186_2:-0.0210409267516_3:-0.0254723544421,1:0.25007525313_2:0.283645916474_3:0.156727690408_4:0.364510106178_5:0.117944012527_6:0.326106391005_7:0.292949894487_8:0.468273379929_9:0.233485213235_10:0.222968806946,
197,NA,1.058365671,1.256202797,40.5641363,1:-6.98583333333_2:-6.05083333333_3:20.3608333333,1:[ 67.0425]_2:[ 181.895]_3:[ 177.69333333],1:[ 0.34577278]_2:[ 0.43088156]_3:[ 0.44021325],-0.104438463,0.364919381,1:-0.0672701048416_2:-0.0495282265947_3:0.0910949805439,0.957646702,1.537278845,0.009003222,0.187088821,36.8678698,0.639218501,NA,-0.015106362,0.058288424,18.03859871,1,1,1:mSD_2:mSD_3:mPD,0,1,0,2,3,3,0,0.333333333,0,0.666666667,0,1:-0.430955989956_2:-0.439096395222_3:1.38056295273,1:1.49827105915_2:1.54516723245_3:1.54355383775,1:-0.00386691594691_2:-0.00297037528731_3:0.02641665047,1:0.13084875193_2:0.201488527623_3:0.204359747042,
123,NA,1.057065975,0.3849119,187.6529104,1:-33.2391666667_2:-30.2466666667_3:-20.3983333333_4:-36.4925_5:-28.5725,1:[ 230.89583333]_2:[ 233.8525]_3:[ 193.89916667]_4:[ 282.21166667]_5:[ 172.78833333],1:[ 0.60595719]_2:[ 0.64422177]_3:[ 0.55696158]_4:[ 0.64785983]_5:[ 0.54216048],-1.599429891,0.602746344,1:-0.608628694987_2:-0.482182524309_3:-0.373620655162_4:-2.4999442628_5:-0.591917033632,-1.153099397,1.526182208,-0.020776098,0.201156267,41.41018005,2.353476817,NA,-0.085783379,0.028259475,2.426117888,1,1,1:mCR_2:mPR_3:mPR_4:mCR_5:mCR,3,0,2,0,5,5,0.6,0,0.4,0,100,1:-1.18299904127_2:-1.10135628219_3:-0.997417546698_4:-1.21811073716_5:-1.20117340757,1:1.52685677203_2:1.52631452617_3:1.52487726147_4:1.53456594676_5:1.52133122477,1:-0.0222658206768_2:-0.0191149057489_3:-0.016752699597_4:-0.0224698562666_5:-0.0222838102295,1:0.169343421227_2:0.23428973102_3:0.200301515354_4:0.232436053325_5:0.202569671677,
